id,Predicted
114982,337294.49094080727
95653,474322.21834608505
40303,340609.9760023599
109506,320424.825625673
100149,438497.36439496715
7610,336059.50176653493
61101,314708.9825044228
68167,511240.0186913272
65701,320079.85130630946
56039,282266.7363924309
81919,439458.9809517031
99768,427045.1544618628
124053,679763.7367128242
3942,358868.5076182459
118904,480270.3910478246
30060,409715.69150068494
185729,551586.5129994645
46357,741019.0388111372
20662,416863.2535166997
102274,480259.1015683672
53369,274846.1713769427
9719,350555.89163184754
20145,306442.8666496133
159051,627413.3798169062
31481,287219.8026103599
142247,366189.1737700559
29119,324222.1441485277
151448,439837.5052838428
60594,255930.12201421405
83400,565491.5607458057
40168,290793.40254071297
52407,415541.44596100796
127232,478729.77167722106
131188,400376.7558463424
952,203506.24557907734
166230,454255.77932820556
144844,399505.36143362825
33207,320134.80056079326
28355,694601.7568287273
179918,640135.1416917664
162451,713907.7490322038
19390,274083.4259837357
114861,440990.1366163649
132259,349122.2397086908
180033,722503.9522070901
97052,479613.5985074032
94224,400045.6795890583
32295,448888.7599399951
171908,758515.078479123
80236,605128.7125353699
156193,426455.06035196607
54494,309016.25823266787
174530,620702.5629036089
143835,331398.68482652475
26275,364306.4456901287
61627,680007.7330795326
49813,328108.56323762855
3466,444555.8937684486
117691,488935.60282201786
132738,628601.4098149582
114211,559624.8239370515
116741,450585.08890552423
39246,412110.50443043065
150011,321464.4195125313
182319,537225.8300935698
32441,301755.09598272457
18842,325864.1257966121
99428,404543.87177962303
96435,426399.75353143195
134803,362515.20847221196
171636,572613.437372491
115944,495157.17996918096
149001,503926.770566469
19084,366171.8106871002
178128,706563.2514995434
74818,373383.41790345206
49603,285826.2573708367
86262,631970.852824725
14520,265577.11620127107
57209,769721.0620889976
148575,621994.7243681661
33,186602.05485868535
180401,672235.0545065975
87114,434947.418813564
16450,336071.9008676293
28848,332855.72662353376
11519,254580.51329495572
7202,297570.0037354019
2843,260084.44581830152
156073,504677.24113551714
132217,434427.41264526336
140349,542249.518051574
34614,320045.93908877927
135594,411204.3173015258
170933,695948.9045298236
62586,429702.17147353396
145868,386368.93725077197
15155,210170.85096821957
61290,325558.08994422795
184569,607808.1848841729
169996,387618.1877603091
7026,392640.73645096656
128356,357491.03733895335
134501,499357.8601274153
163406,653854.1941002427
56796,430692.7294640604
174870,699042.5325380354
142554,510298.7824940184
59547,271560.51687237294
143113,471639.8862983738
154091,429353.33969879773
61191,541410.5602255034
135899,428052.00322305586
172405,587771.8792816045
184121,559157.3066118193
1063,348387.1627374684
6348,321094.1757063633
79995,543424.3537207178
50573,356007.17971766985
79894,443259.5153097349
113553,354195.2680136564
31931,374179.81964510074
86645,374336.00857604743
123780,381916.0274561971
142940,481654.758056918
138987,510183.9522239236
41502,245339.83901147475
100104,517158.6341963065
83570,440331.52558733727
181648,629025.5529623119
68406,444026.3873403341
114567,313957.1534539298
5470,395427.28268120554
176926,839772.6492487858
173013,468881.24626012525
110219,416434.813365499
52178,237412.44408414583
120569,463392.57469499146
132710,448722.37025275204
10478,404664.12085830985
100309,783034.7977636567
76446,319377.1952270905
140674,413175.57156606426
122786,555322.5797518673
66214,528053.3711528825
120240,308542.3168792674
113802,372682.724401774
169747,472859.2334336389
45819,397103.2816952652
36170,303050.4823301552
84049,475214.70307800674
104675,347328.27129008825
66165,798799.6998007173
92499,368349.4118641307
107783,500900.4973110388
148441,479742.693690579
12344,282398.4908044387
93256,540716.2704061633
48139,474220.99344482145
101908,360037.5096438534
134084,405551.2752266907
17216,261727.93740046665
185201,681096.7353208427
185016,641125.4559064578
25318,309426.0931639628
65253,329445.9663487682
57696,262002.7983736103
30939,323293.7656165166
128338,369476.85830793856
104156,422596.4583205245
41455,344879.60202106426
126390,344914.1399647042
165803,485503.4314415538
